Tercer semestre: 2021-20	
Semana 6: Sistemas de ecuaciones lineales, colisión de dos discos rígidos	5.00	100.00%	6.25%	0.19
Semana 8: Sobrerelajación MonteCarlo	5.00	100.00%	6.25%	0.19
Semana 7: Mínimos cuadrados y sistemas de ecuaciones no lineales	5.00	100.00%	6.25%	0.19
Semana 10: Introducción a probabilidad	5.00	100.00%	6.25%	0.19
Semana 11: Conteo	5.00	100.00%	6.25%	0.19
Semana 12: Covarianza	5.00	100.00%	6.25%	0.19
Bono Semana 12: Hipótesis (producto de Kronecker y p-values)	+ 0.25 en Semana 3			0.00
Semana 3: Derivación - Campo eléctrico [con bono]	4.50	90.00%	6.25%	0.19
Semana 13: Bondad del ajuste	4.95	99.00%	6.25%	0.19
Bono Semana 15: Bondad del ajuste para pseudo-generadores	No se realizó		0.00%	0.00
Semana 15: Metrópolis Hastings - Molécula de Hidrógeno [examen final]	¡Eximido!			0.00
Exención Examen final: Hidden Markov models	5.00	100.00%	6.25%	0.19
Nota final	4.97	99.31%	100.00%	3.00
Nota final con aproximación a la milésima	4.97	99.40%	100.00%	
Máxima nota final alcanzable a la fecha	4.97	99.40%	100.00%	
Mínima nota final alcanzable a la fecha	4.97	99.40%	100.00%	
				
Complementaria FISI 2526, 01: Métodos Computacionales 1	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Ejercicio 2: Tiro parabólico	5.00	100.00%	16.67%	0.13
Ejercicio 3: Newton-Raphson	5.00	100.00%	16.67%	0.13
Ejercicio 4: Interpolación por Newton-Gregory para puntos equiespaciados	No fue calificado.		0.00%	0.00
Ejercicio 5: Integrales dobles y volúmenes por generalizacion del método del trapecio 	No fue calificado.		0.00%	0.00
Ejercicio 6: Gauss Jordan en circuito de resistores	5.00	100.00%	16.67%	0.13
Ejercicio 7: Mínimos cuadrados, ajuste de cuarto grado 	No fue calificado.		0.00%	0.00
Ejercicio 8: Probabilidades en lanzamiento de tres dados	5.00	100.00%	16.67%	0.13
Ejercicio 10: Bootstrapping para errores en regresión lineal	5.00	100.00%	16.67%	0.13
Ejercicio 12: Función de densidad y maximum likelihood estimate	5.00	100.00%	16.67%	0.13
Ejercicio 13: Hipótesis nula y p-value	No fue calificado.		0.00%	0.00
Ejercicio 14: Metrópolis-Hastings para función de distribución de probabilidad	5.00 (Peor nota no cuenta).		0.00%	0.00
Nota final	5.00	100.00%	100.00%	0.75
				
				
ISIS 1225, 02: Estructuras de Datos y Algoritmos	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Reto 1	4.58	91.60%	12.00%	0.36
Examen parcial 1: Complejidades y estructuras de datos lineales	4.50	90.00%	16.00%	0.48
Reto 2	4.92	98.40%	12.00%	0.36
Examen parcial 2: Tablas de símbolos	4.75	95.00%	16.00%	0.48
Reto 3	5.00	100.00%	14.00%	0.42
Examen parcial 3: Grafos	4.00	80.00%	16.00%	0.48
Reto 4	4.53	90.60%	14.00%	0.42
Nota final	4.59	91.88%	100.00%	3.00
Nota final con política de aproximación	4.50	90.00%	100.00%	
Máxima nota final alcanzable a la fecha (sin política de aproximación)	4.59	91.88%	100.00%	
Máxima nota final alcanzable a la fecha	4.50	90.00%	100.00%	
Mínima nota final alcanzable a la fecha (sin política de aproximación)	4.59	91.88%	100.00%	
Mínima nota final alcanzable a la fecha	4.50	90.00%	100.00%	
				
Retos ISIS 1225, 02: Estructuras de Datos y Algoritmos	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Laboratorio 1: Ambiente de desarrollo	5.00	100.00%	5.00%	0.02
Laboratorio 2: Versiones y conflictos de código	5.00	100.00%	5.00%	0.02
Laboratorio 3: Introducción a TAD lista	4.49	89.80%	5.00%	0.02
Laboratorio 4: Ordenamientos iterativos y recursivos y avances Reto 1	3.30	66.00%	5.00%	0.02
Reto 1 grupal	4.57	91.33%	60.00%	0.22
Reto 1 individual	4.80	96.00%	20.00%	0.07
Bono reto 1	No se realizó.		5.00%	0.02
Total reto 1 con posible excedente	4.59	91.79%	100.00%	0.36
Total reto 1	4.58	91.60%	100.00%	
Laboratorio 5: TAD Map y avances reto 2	5.00	100.00%	10.00%	0.04
Laboratorio 6: Linear probing vs separate-chaining y toma de datos reto 2	5.00	100.00%	10.00%	0.04
Reto 2 grupal	4.86	97.20%	60.00%	0.22
Reto 2 individual	5.00	100.00%	20.00%	0.07
Bono reto 2	No se realizó.		5.00%	0.02
Total reto 2 con posible excedente	4.92	98.32%	100.00%	0.36
Total reto 2	4.92	98.40%	100.00%	
Laboratorio 7: Tablas de símbolos ordenadas	4.70	94.00%	10.00%	0.04
Laboratorio 8: Tablas de símbolos ordenadas y balanceadas	5.00	100.00%	10.00%	0.04
Reto 3 grupal	4.75	95.00%	60.00%	0.25
Reto 3 individual	4.75	95.00%	20.00%	0.08
Bono reto 3	5.00	100.00%	5.00%	0.02
Total reto 3 con posible excedente	5.02	100.40%	100.00%	0.42
Total reto 3	5.00	100.00%	100.00%	
Laboratorio 9: 	4.40	88.00%	5.00%	0.02
Avance 1 reto 4	4.54	90.80%	5.00%	0.02
Avance 2 reto 4	4.54	90.80%	5.00%	0.02
Reto 4	4.54	90.80%	85.00%	0.36
Bonos reto 4	No se realizaron.		20%	0.08
Total reto 4 con posible excedente	4.53	90.66%	100.00%	0.42
Total reto 4	4.53	90.60%	100.00%	
				
				
LENG 1301, 08: Alemán 1	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Quiz 1	5.00	100.00%	1.00%	0.03
Quiz 2	4.00	80.00%	0.00%	0.00
Quiz 2 con bono	5.00	100.00%	1.00%	0.03
Quiz 3	5.00	100.00%	1.00%	0.03
Quiz 4	5.00	100.00%	1.00%	0.03
Quiz 5	5.00	100.00%	1.00%	0.03
Moodle 1 (Kapitel 1 und 2 - Obligatorisch)	5.00	100.00%	5.00%	0.15
Moodle 2 (Kapitel 3, 4, und 5 - Obligatorisch) con bono	5.00	100.00%	5.00%	0.15
Moodle 3  (Kapitel 6, 7, und 8 - Obligatorisch)	5.00	100.00%	5.00%	0.15
Miniprojekt 1	4.00	80.00%	5.00%	0.15
Miniprojekt 2	5.00	100.00%	5.00%	0.15
Miniprojekt 3	5.00	100.00%	5.00%	0.15
Cartilla 1	5.00	100.00%	1.67%	0.05
Cartilla 2	5.00	100.00%	1.67%	0.05
Cartilla final	5.00	100.00%	1.67%	0.05
Participación y asistencia 1	5.00	100.00%	5.00%	0.15
Participación y asistencia 2	5.00	100.00%	5.00%	0.15
Übungsbuch (Bono nota tests)	No se realizó.		0.00%	0.00
Moodle (V) (Bono nota moodle)	Bono moodle y quizzes		0.00%	0.00
Oraciones de las camisetas o los fondos (Bono nota cartilla)	No se realizó.		0.00%	0.00
Quizlet (Bono nota participación)	No se realizó.		0.00%	0.00
Examen parcial 1	4.80	96.00%	15.00%	0.45
Examen parcial 2	4.90	98.00%	15.00%	0.45
Examen parcial 3	4.70	94.00%	20.00%	0.60
Nota final	4.85	96.90%	100.00%	3.00
Nota final con aproximación a la milésima	4.85	97.00%	100.00%	
Máxima nota final alcanzable a la fecha	4.85	96.90%	100.00%	
Mínima nota final alcanzable a la fecha	4.85	96.90%	100.00%	
				
				
MATE 1102, 01: Matemática Estructural	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Tarea 1: Lógica, conjuntos y demostraciones	4.89	97.86%	4.00%	0.12
Examen parcial 1: Conjuntos e inducción	5.00	100.00%	20.00%	0.60
Tarea 2: Conjuntos, inducción e inducción fuerte	5.00	100.00%	4.00%	0.12
Tarea 3: Algoritmos de división y de Euclides, primos y máximo común divisor	5.00	100.00%	4.00%	0.12
Examen parcial 2: Aritmética modular, congruencias, primos y primos relativos	5.00	100.00%	20.00%	0.60
Tarea 4: Teorema chino residuos, pequeño teorema Fermat, relaciones y funciones	4.69	93.75%	4.00%	0.12
Examen parcial 3: Aritmética modular, funciones, relaciones de equivalencia, órdenes	5.00	100.00%	20.00%	0.60
Tarea 5: cardinalidades infinitas, conteo	4.69	93.75%	4.00%	0.12
Examen final	5.00	100.00%	20.00%	0.60
Nota final	4.97	99.41%	100.00%	3.00
Nota final con política de aproximación	5.00	100.00%	100.00%	
Máxima nota final alcanzable a la fecha (sin política de aproximación)	4.97	99.41%	100.00%	
Máxima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
Mínima nota final alcanzable a la fecha (sin política de aproximación)	4.97	99.41%	100.00%	
Mínima nota final alcanzable a la fecha	5.00	100.00%	100.00%	
				
				
MATE 1207, 19: Cálculo Vectorial	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Complementaria MATE 1207, 19: Cálculo Vectorial	5.00	100.00%	10.71%	0.32
Parcial 1: Límites, derivación y optimización 	3.61	72.20%	25.00%	0.75
Parcial 2:		0.00%	25.00%	0.75
Final		0.00%	25.00%	0.75
Materia retirada				
Nota final	3.61	72.20%	35.71%	2.57
Máxima nota final alcanzable a la fecha	4.50	90.07%	100.00%	
Mínima nota final alcanzable a la fecha	1.29	25.79%	100.00%	
				
Complementaria MATE 1207, 19: Cálculo Vectorial	Calificación		Valor	
	Nota	Porcentual	Porcentual	Créditos
Quiz 1: Intersección de planos	5.00	100.00%	7.14%	0.05
Quiz 2: Curvas de nivel, secciones y gráficas de superficies  f: ℝ² → ℝ.	5.00	100.00%	7.14%	0.05
Quiz 3: Límites de funciones dom f = ℝ²	5.00	100.00%	7.14%	0.05
Quiz 4: Derivación de funciones vectoriales	5.00	100.00%	7.14%	0.05
Quiz 5: Gradientes, planos tangentes y derivada direccional	5.00	100.00%	7.14%	0.05
Quiz 6: Extremos y optimización de funciones escalares de múltiples variables	5.00	100.00%	7.14%	0.05
Quizzes 7 - 14		0.00%	57.14%	0.43
Materia retirada				
Nota final	5.00	100.00%	42.86%	0.75
